project_id,founded,SIC,SIC2,CLS,health_social,healthcare,smallcompanies,currentasset,currentliabilities,currentratio,calledupshare,totalequity,employee-owned,group,dissolved,allocatedshares,aggregatevalue,shareholder,shareholder2,totalissueshares,reported,mutuals,spinout 
location1213,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
location684,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location685,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location686,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location687,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location688,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location689,2005,81299 - Other cleaning services,,0,socialcare,0,1,7990,2023,,,6441,0,0,,,,0,,,2019,0,0
location815,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location816,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location817,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location818,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location819,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location820,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location821,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location822,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location823,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location824,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location825,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location826,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location827,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location828,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location829,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location830,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location831,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location832,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location833,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location834,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location835,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location836,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location837,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location838,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location839,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location840,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location841,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location842,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location843,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location844,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location845,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location846,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location847,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location848,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location849,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location850,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location851,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location852,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location853,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location854,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location855,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location856,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location857,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location858,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location859,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location860,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location861,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location862,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider1,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider2,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider3,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider4,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider5,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider6,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider7,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider8,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider9,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider10,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider11,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider12,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider13,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider14,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider15,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider16,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider17,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider18,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider19,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider20,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider21,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider22,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider23,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider24,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider25,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider26,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider27,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider28,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider29,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
provider30,2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,12993734,10125341,1,610,3613364,0,0,0,620,620,1,individuals ,620,2019,0,1
location193,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,1,8556,0,0,0,1,1,1,individual,1,2019,0,0
location194,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,1,8556,0,0,0,1,1,1,individual,1,2019,0,0
location195,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,1,8556,0,0,0,1,1,1,individual,1,2019,0,0
location196,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,1,8556,0,0,0,1,1,1,individual,1,2019,0,0
location197,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,1,8556,0,0,0,1,1,1,individual,1,2019,0,0
location198,2005,88100 - Social work activities without accommodation for the elderly and disabled,,1,socialcare,0,1,42527,33971,,,8556,0,0,0,1,1,,individual,1,2019,0,0
location732,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location733,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location734,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location735,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location736,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location737,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location738,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location739,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location740,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location741,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location742,2015,86210 - General medical practice activities,,1,healthcare,1,1,1336153,1248687,1,,89638,0,0,0,416692,416692,,individuals ,416692,2019,0,0
location409,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location410,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location411,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location412,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location413,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location414,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location415,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location416,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location417,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location418,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location419,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location420,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location421,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location422,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location423,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location424,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location425,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location426,2014,87300 - Residential care activities for the elderly and disabled,88100 - Social work activities without accommodation for the elderly and disabled,1,socialcare,0,,1245296,781905,2,,6481922,1,0,0,242,242,,individuals,242,2019,0,0
location259,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location260,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location261,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location262,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location263,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location264,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
location265,2013,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",88990 - Other social work activities without accommodation not elsewhere classified,1,socialcare,0,1,958795,951719,1,2,23835,0,0,1,2,2,1,individuals,2,2019,0,1
