project_id,std_name,provider_name,location_name,type,level,service_group,domain,rating,publication_date,primary_cat,region,report_type
location23,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,People with long term conditions,Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location24,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location30,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,MCH House,Independent Healthcare Org,location,Community health services for adults,Overall,Good,2017-06-29T00:00:00Z,Community health - NHS & Independent,South East,Location
location36,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,MCH House,Independent Healthcare Org,location,"Community health services for children, young people and families",Overall,Good,2017-06-29T00:00:00Z,Community health - NHS & Independent,South East,Location
location42,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,MCH House,Independent Healthcare Org,location,Overall,Overall,Good,2017-06-29T00:00:00Z,Community health - NHS & Independent,South East,Location
location48,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Long Stratton Supported Living,Social Care Org,location,Overall,Overall,Good,2019-07-13T00:00:00Z,Community based adult social care services,East of England,Location
location54,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Church Green Lodge,Social Care Org,location,Overall,Overall,Good,2018-06-01T00:00:00Z,Residential social care,East of England,Location
location60,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Pine Lodge,Social Care Org,location,Overall,Overall,Good,2019-07-11T00:00:00Z,Residential social care,East of England,Location
location66,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Faro Lodge,Social Care Org,location,Overall,Overall,Good,2017-04-27T00:00:00Z,Residential social care,East of England,Location
location72,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Norwich Supported Living,Social Care Org,location,Overall,Overall,Good,2019-03-14T00:00:00Z,Community based adult social care services,East of England,Location
location78,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Personal Assistant Services East,Social Care Org,location,Overall,Overall,Requires improvement,2019-06-28T00:00:00Z,Community based adult social care services,East of England,Location
location84,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Personal Assistant Services North,Social Care Org,location,Overall,Overall,Good,2019-08-22T00:00:00Z,Community based adult social care services,East of England,Location
location90,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Personal and Community Support Services Personal Assistant Services South,Social Care Org,location,Overall,Overall,Good,2019-06-11T00:00:00Z,Community based adult social care services,East of England,Location
location96,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Stepping Out,Social Care Org,location,Overall,Overall,Good,2017-08-31T00:00:00Z,Residential social care,East of England,Location
location102,MEADOWAY HOMES CIC,Meadoway Homes CIC,Meadoway Homes Limited - 613 Barking Road,Social Care Org,location,Overall,Overall,Good,2017-05-25T00:00:00Z,Residential social care,London,Location
location108,BROMLEY HEALTHCARE CIC,Bromley Healthcare Community Interest Company,Lauriston House,Independent Healthcare Org,location,Community health inpatient services,Overall,Good,2017-03-01T00:00:00Z,Community health - NHS & Independent,London,Location
location114,BROMLEY HEALTHCARE CIC,Bromley Healthcare Community Interest Company,Lauriston House,Independent Healthcare Org,location,Overall,Overall,Good,2017-03-01T00:00:00Z,Community health - NHS & Independent,London,Location
location120,DHU HEALTH CARE CIC,DHU Health Care C.I.C.,Ashgate Manor,Primary Medical Services,location,Overall,Overall,Good,2017-06-20T00:00:00Z,Out of hours,East Midlands,Location
location126,FUTURE HEALTH AND SOCIAL CARE ASSOCIATION CIC,Future Health And Social Care Association C.I.C.,Future Care & Support Service,Social Care Org,location,Overall,Overall,Requires improvement,2019-05-08T00:00:00Z,Community based adult social care services,West Midlands,Location
location132,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Floating Support City,Social Care Org,location,Overall,Overall,Good,2017-01-12T00:00:00Z,Community based adult social care services,East of England,Location
location138,SPDNS NURSE CARE CIC,SPDNS Nurse Care Community Interest Company,SPDNS Nurse Care Community Interest Company (CIC),Social Care Org,location,Overall,Overall,Good,2017-01-11T00:00:00Z,Community based adult social care services,East of England,Location
location144,SPECTRUM CONTINUING CARE CIC,Spectrum Continuing Care CIC,Spectrum Continuing Care CIC,Social Care Org,location,Overall,Overall,Good,2019-09-28T00:00:00Z,Community based adult social care services,South East,Location
location150,CTRC CIC,CTRC Community Interest Company,CTRC CIC,Social Care Org,location,Overall,Overall,Good,2019-04-03T00:00:00Z,Community based adult social care services,London,Location
location156,YOU FIRST SUPPORT SERVICES CIC,You First Support Services CIC,You First Support Services CIC,Social Care Org,location,Overall,Overall,Good,2017-09-15T00:00:00Z,Community based adult social care services,South West,Location
location162,IDEAL COMMUNITY CARE SOLUTIONS CIC,Ideal Community Care Solutions C.I.C.,Ideal Community Care Solutions C.I.C,Social Care Org,location,Overall,Overall,Good,2017-09-30T00:00:00Z,Community based adult social care services,Yorkshire and The Humber,Location
location168,SUPPORT HORIZONS CIC,Support Horizons Community Interest Company,Support Horizons,Social Care Org,location,Overall,Overall,Good,2018-02-17T00:00:00Z,Community based adult social care services,South East,Location
location174,HILLSIDE CARE SERVICES CIC,Hillside Care Services Community Interest Company,Unit 14b - Day Lewis House,Social Care Org,location,Overall,Overall,Good,2018-10-27T00:00:00Z,Community based adult social care services,London,Location
location180,FALCARE CIC,Falcare Community Interest Company,Falcare,Social Care Org,location,Overall,Overall,Outstanding,2017-12-13T00:00:00Z,Community based adult social care services,South West,Location
location186,EAM LODGE CIC,EAM Lodge Community Interest Company,EAM Lodge CIC,Social Care Org,location,Overall,Overall,Good,2019-07-30T00:00:00Z,Residential social care,North West,Location
location192,REACH LEARNING DISABILITY CARE CIC,Reach Learning Disability Care C.I.C.,Reach Learning Disability Care C.I.C,Social Care Org,location,Overall,Overall,Outstanding,2018-12-18T00:00:00Z,Community based adult social care services,East Midlands,Location
location198,ANNIE'S HEALTHCARE SERVICES CIC,Annie's Healthcare Services C.I.C.,Annie's Healthcare Services C.I.C.,Social Care Org,location,Overall,Overall,Good,2018-06-07T00:00:00Z,Community based adult social care services,London,Location
location204,POSSABILITIES CIC,PossAbilities C.I.C,Cherwell Centre,Social Care Org,location,Overall,Overall,Outstanding,2018-12-11T00:00:00Z,Community based adult social care services,North West,Location
location210,POSSABILITIES CIC,PossAbilities C.I.C,Harelands House,Social Care Org,location,Overall,Overall,Good,2018-03-06T00:00:00Z,Residential social care,North West,Location
location216,E2INSPIRE CIC,E2Inspire C.I.C.,Has 2 be Happy Care,Social Care Org,location,Overall,Overall,Outstanding,2019-04-30T00:00:00Z,Community based adult social care services,North West,Location
location222,SPECTRUM COMMUNITY HEALTH CIC,Spectrum Community Health C.I.C.,North Yorkshire Horizons,Independent Healthcare Org,location,Overall,Overall,Outstanding,2019-02-07T00:00:00Z,Community substance misuse,Yorkshire and The Humber,Location
location228,SPECTRUM COMMUNITY HEALTH CIC,Spectrum Community Health C.I.C.,North Yorkshire Horizons,Independent Healthcare Org,location,Residential substance misuse services,Overall,Outstanding,2019-02-07T00:00:00Z,Community substance misuse,Yorkshire and The Humber,Location
location234,EAST OF ENGLAND HOMECARE CIC,East Of England Homecare C.I.C,East of England Homecare CIC,Social Care Org,location,Overall,Overall,Good,2018-11-09T00:00:00Z,Community based adult social care services,East of England,Location
location235,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,"Families, children and young people",Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location236,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,Older people,Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location242,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,Overall,Overall,Good,2018-03-26T00:00:00Z,GP Practices,South East,Location
location243,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location244,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location245,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,People with long term conditions,Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location246,INVICTA HEALTH CIC,Invicta Health Community Interest Company,Martello Health Centre,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Good,2017-06-21T00:00:00Z,GP Practices,South East,Location
location252,GANNICOX CIC,Gannicox CIC,Gannicox CIC Domiciliary Care Agency,Social Care Org,location,Overall,Overall,Good,2019-09-10T00:00:00Z,Community based adult social care services,South West,Location
location258,SILVER TREE HOME SUPPORT CIC,Silver Tree Home Support Community Interest Company,Silver Tree Home Support Community Interest Company,Social Care Org,location,Overall,Overall,Good,2019-06-11T00:00:00Z,Community based adult social care services,West Midlands,Location
location264,BALANCE (SUPPORT) CIC,Balance (Support) CIC,Woodbury,Social Care Org,location,Overall,Overall,Good,2019-06-06T00:00:00Z,Residential social care,London,Location
location270,BALANCE (SUPPORT) CIC,Balance (Support) CIC,"17 Chamberlain Way, Respite Unit",Social Care Org,location,Overall,Overall,Good,2018-04-21T00:00:00Z,Residential social care,London,Location
location271,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,"Families, children and young people",Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location272,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,Older people,Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location278,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,Overall,Overall,Good,2018-03-22T00:00:00Z,GP Practices,London,Location
location279,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location280,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location281,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,People with long term conditions,Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location282,LANTERN HEALTH CIC,Lantern Health CIC,Carpenters Practice,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Good,2015-11-12T00:00:00Z,GP Practices,London,Location
location288,VISION BEYOND AUTISM CIC,Vision Beyond Autism CIC,Vision Beyond Autism,Social Care Org,location,Overall,Overall,Good,2017-07-01T00:00:00Z,Community based adult social care services,North West,Location
location294,INDEPENDENCE MATTERS CIC,Independence Matters C.I.C.,Kings Lynn Supported Living,Social Care Org,location,Overall,Overall,Good,2017-08-30T00:00:00Z,Community based adult social care services,East of England,Location
location295,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,"Families, children and young people",Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location296,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,Older people,Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location302,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,Overall,Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location303,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location304,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location305,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,People with long term conditions,Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location306,PROVIDE CIC,Provide Community Interest Company,Steeple Bumpstead Surgery,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Inadequate,2019-05-21T00:00:00Z,GP Practices,East of England,Location
location312,QUAY HEALTH SOLUTIONS CIC,Quay Health Solutions CIC,Extended Access Clinic : Bermondsey Spa Medical Centre,Independent Healthcare Org,location,Overall,Overall,Good,2019-05-16T00:00:00Z,Independent consulting doctors,London,Location
location318,CATALYST CHOICES CIC,Catalyst Choices Community Interest Company,Mosslands Care and Support,Social Care Org,location,Overall,Overall,Good,2018-12-07T00:00:00Z,Community based adult social care services,North West,Location
location324,CATALYST CHOICES CIC,Catalyst Choices Community Interest Company,Broomfields Sheltered Housing,Social Care Org,location,Overall,Overall,Good,2018-07-24T00:00:00Z,Community based adult social care services,North West,Location
location330,CATALYST CHOICES CIC,Catalyst Choices Community Interest Company,Woodleigh,Social Care Org,location,Overall,Overall,Good,2019-08-23T00:00:00Z,Residential social care,North West,Location
location336,HOMECARE NORTH EAST CIC,Homecare North East CIC,Dunston Community Centre,Social Care Org,location,Overall,Overall,Good,2018-09-01T00:00:00Z,Community based adult social care services,North East,Location
location342,FLOURISH ENTERPRISES CIC,Flourish Enterprises Community Interest Company,Woodfield 24 Care Services,Social Care Org,location,Overall,Overall,Good,2018-05-24T00:00:00Z,Community based adult social care services,Yorkshire and The Humber,Location
location343,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,"Families, children and young people",Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location344,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,Older people,Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location350,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,Overall,Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location351,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location352,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location353,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,People with long term conditions,Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location354,HOPE CITADEL HEALTHCARE CIC,Hope Citadel Healthcare Community Interest Company,Hollinwood Medical Practice,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Outstanding,2018-05-24T00:00:00Z,GP Practices,North West,Location
location360,SPRINGS OF JOY CARE SOLUTION (SOJ) CIC,Springs Of Joy Care Solution (SOJ) C.I.C,Springs Of Joy Care Solution (SOJ) C.I.C,Social Care Org,location,Overall,Overall,Good,2018-06-26T00:00:00Z,Community based adult social care services,East Midlands,Location
location366,HOME FAIRY CIC,Home Fairy CIC,Home Fairy - Derby,Social Care Org,location,Overall,Overall,Good,2018-05-25T00:00:00Z,Community based adult social care services,East Midlands,Location
location372,JUST ASK DOMESTIC SERVICES CIC,Just Ask Domestic Services Community Interest Company,Just Ask Domestic Services Community Interest Company,Social Care Org,location,Overall,Overall,Good,2017-12-20T00:00:00Z,Community based adult social care services,Yorkshire and The Humber,Location
location378,CARERS BREAK CIC,Carers Break Community Interest Company,Carers Break Community Interest Company,Social Care Org,location,Overall,Overall,Good,2017-10-20T00:00:00Z,Community based adult social care services,South West,Location
location384,ACUTE NEED CIC,Acute Need CIC,Acute Need CIC,Social Care Org,location,Overall,Overall,Outstanding,2019-01-10T00:00:00Z,Community based adult social care services,North West,Location
location385,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,"Families, children and young people",Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location386,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,Older people,Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location392,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,Overall,Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location393,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location394,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location395,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,People with long term conditions,Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location396,BEVAN HEALTHCARE CIC,Bevan Healthcare C.I.C.,Bevan House,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Outstanding,2016-03-30T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location402,FAVOURED HEALTH CARE CIC,Favoured Health Care CIC,Favoured Health Care CIC,Social Care Org,location,Overall,Overall,Good,2019-06-21T00:00:00Z,Community based adult social care services,London,Location
location408,ACHIEVING FOR CHILDREN CIC,Achieving for Children Community Interest Company,The Windham Croft Centre,Social Care Org,location,Overall,Overall,Good,2018-06-05T00:00:00Z,Community based adult social care services,London,Location
location414,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC,Aspire: for Intelligent Care and Support C.I.C,Supported Tenancy Network,Social Care Org,location,Overall,Overall,Good,2019-01-23T00:00:00Z,Community based adult social care services,North West,Location
location420,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC,Aspire: for Intelligent Care and Support C.I.C,Adult Placement,Social Care Org,location,Overall,Overall,Good,2018-12-29T00:00:00Z,Community based adult social care services,North West,Location
location426,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC,Aspire: for Intelligent Care and Support C.I.C,Granville,Social Care Org,location,Overall,Overall,Good,2017-07-22T00:00:00Z,Residential social care,North West,Location
location432,KIDSGROVE CARE SOLUTIONS CIC,Kidsgrove Care Solutions CIC,Kidsgrove Care Solutions -  Arbour Street,Social Care Org,location,Overall,Overall,Good,2019-01-19T00:00:00Z,Residential social care,West Midlands,Location
location438,NOTTINGHAM CITYCARE PARTNERSHIP CIC,Nottingham Citycare Partnership CIC,NHS Urgent Care Centre,Primary Medical Services,location,Overall,Overall,Good,2017-02-13T00:00:00Z,Urgent care services & mobile doctors,East Midlands,Location
location444,POSSABILITIES CIC,PossAbilities C.I.C,Leighton House,Social Care Org,location,Overall,Overall,Good,2018-03-29T00:00:00Z,Residential social care,North West,Location
location450,FUTURE DIRECTIONS CIC,Future Directions CIC,Stanley Grange,Social Care Org,location,Overall,Overall,Good,2017-07-19T00:00:00Z,Residential social care,North West,Location
location456,ESTEEM HOMECARE SERVICES CIC,Esteem Homecare Services CIC,Esteem Homecare Services,Social Care Org,location,Overall,Overall,Requires improvement,2019-09-12T00:00:00Z,Community based adult social care services,North East,Location
location462,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,Darland House,Independent Healthcare Org,location,Overall,Overall,Good,2018-06-20T00:00:00Z,Residential social care,South East,Location
location468,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,Wisdom Hospice,Independent Healthcare Org,location,Overall,Overall,Good,2016-06-25T00:00:00Z,Hospice services,South East,Location
location479,HALOW CARE CIC,Halow Care Community Interest Company,The Halow Care Agency,Social Care Org,location,Overall,Overall,Requires improvement,2019-01-01T00:00:00Z,Community based adult social care services,South East,Location
location485,FUTURE DIRECTIONS CIC,Future Directions CIC,Grange Ave,Social Care Org,location,Overall,Overall,Good,2019-07-02T00:00:00Z,Residential social care,North West,Location
location491,BROMLEY HEALTHCARE CIC,Bromley Healthcare Community Interest Company,Beckenham Beacon,Independent Healthcare Org,location,Community health services for adults,Overall,Good,2017-07-12T00:00:00Z,Community health - NHS & Independent,London,Location
location497,BROMLEY HEALTHCARE CIC,Bromley Healthcare Community Interest Company,Beckenham Beacon,Independent Healthcare Org,location,"Community health services for children, young people and families",Overall,Good,2017-07-12T00:00:00Z,Community health - NHS & Independent,London,Location
location503,BROMLEY HEALTHCARE CIC,Bromley Healthcare Community Interest Company,Beckenham Beacon,Independent Healthcare Org,location,Overall,Overall,Good,2017-07-12T00:00:00Z,Community health - NHS & Independent,London,Location
location509,"TRAINING, EMPLOYMENT, SUPPORT SOLUTIONS CIC","Training, Employment, Support Solutions CIC",Tess CIC,Social Care Org,location,Overall,Overall,Good,2017-08-01T00:00:00Z,Community based adult social care services,East Midlands,Location
location515,EMPANDA CARE & SUPPORT LTD CIC,Empanda Care & Support Ltd CIC,Oak Trees (Respite),Social Care Org,location,Overall,Overall,Good,2017-06-07T00:00:00Z,Residential social care,East of England,Location
location521,THE RECOVERY HUB IPSWICH CIC,The Recovery Hub Ipswich Community Interest Company,The Recovery Hub Ipswich,Independent Healthcare Org,location,Overall,Overall,Good,2019-09-13T00:00:00Z,Residential substance misuse,East of England,Location
location527,THE RECOVERY HUB IPSWICH CIC,The Recovery Hub Ipswich Community Interest Company,The Recovery Hub Ipswich,Independent Healthcare Org,location,Substance misuse services,Overall,Good,2019-09-13T00:00:00Z,Residential substance misuse,East of England,Location
location533,POSSABILITIES CIC,PossAbilities C.I.C,Grenfell House,Social Care Org,location,Overall,Overall,Good,2018-03-02T00:00:00Z,Community based adult social care services,North West,Location
location539,DHU HEALTH CARE CIC,DHU Health Care C.I.C.,Loughborough Urgent Care Centre,Primary Medical Services,location,Overall,Overall,Good,2019-04-23T00:00:00Z,Urgent care services & mobile doctors,East Midlands,Location
location545,SAHAN CARES CIC,Sahan Cares C.I.C.,Sahan Cares C.I.C,Social Care Org,location,Overall,Overall,Good,2018-04-26T00:00:00Z,Community based adult social care services,London,Location
location551,SUNSHINE CARE (ROCHDALE) CIC,Sunshine Care (Rochdale) C.I.C,Sunshine Care (Rochdale) C.I.C.,Social Care Org,location,Overall,Overall,Good,2017-05-20T00:00:00Z,Community based adult social care services,North West,Location
location557,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Walk in Centre,Independent Healthcare Org,location,Overall,Overall,Good,2017-11-01T00:00:00Z,Urgent care services & mobile doctors,Yorkshire and The Humber,Location
location563,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,Amherst Court,Independent Healthcare Org,location,Community health inpatient services,Overall,Good,2017-06-29T00:00:00Z,Community health - NHS & Independent,South East,Location
location569,MEDWAY COMMUNITY HEALTHCARE CIC,Medway Community Healthcare C.I.C,Amherst Court,Independent Healthcare Org,location,Overall,Overall,Good,2017-06-29T00:00:00Z,Community health - NHS & Independent,South East,Location
location575,SUFFOLK GP FEDERATION CIC,Suffolk GP Federation C.I.C.,Suffolk GP Federation C.I.C. - Head Office,Independent Healthcare Org,location,Overall,Overall,Requires improvement,2019-03-15T00:00:00Z,Out of hours,East of England,Location
location581,EAM LODGE CIC,EAM Lodge Community Interest Company,EAM Lodge (Trafford),Social Care Org,location,Overall,Overall,Good,2019-03-09T00:00:00Z,Residential social care,North West,Location
location587,SOUTH DURHAM HEALTH CIC,South Durham Health C.I.C,"The Surgery, Wheatley Hill",Primary Medical Services,location,Overall,Overall,Good,2019-08-23T00:00:00Z,Out of hours,North East,Location
location593,SIRONA CARE & HEALTH CIC,Sirona Care & Health C.I.C.,Cleeve Court Community Resource Centre,Social Care Org,location,Overall,Overall,Good,2019-08-28T00:00:00Z,Residential social care,South West,Location
