Location ID,location_name,Care Home?,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Location Local Authority,Location Region,Location ONSPD CCG Code,Location ONSPD CCG,Location Commissioning CCG Code,Location Commissioning CCG Name,Service / Population Group,Domain,Latest Rating,Publication Date,Report Type,Inherited Rating (Y/N),URL,Provider ID,provider_name,Brand ID,Brand Name,std_name
1-163009692,Annie's Healthcare Services C.I.C.,N,Social Care Org,Community based adult social care services,245A Beehive Lane,NA,Ilford,IG4 5ED,Redbridge,London,E38000138,NHS Redbridge CCG,NA,NA,Overall,Safe,Good,2018-06-07T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-163009692,1-142451470,Annie's Healthcare Services C.I.C.,-,-,ANNIE'S HEALTHCARE SERVICES CIC
1-3302628126,Arch Healthcare,N,Primary Medical Services,GP Practices,The School Clinic,Morley Street,Brighton,BN2 9DH,Brighton and Hove,South East,E38000021,NHS Brighton and Hove CCG,09D,NHS Brighton and Hove CCG,"Families, children and young people",Overall,Good,2019-03-18T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3302628126,1-3051733634,Arch Health Community Interest Company,-,-,ARCH HEALTH CIC
1-1192461912,Ashgate Manor,N,Primary Medical Services,Out of hours,Ashgate Road,NA,Chesterfield,S40 4AA,Derbyshire,East Midlands,E38000229,NHS Derby and Derbyshire CCG,NA,NA,Overall,Safe,Good,2017-06-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1192461912,1-199800254,DHU Health Care C.I.C.,-,-,DHU HEALTH CARE CIC
1-297421922,Avondown House,N,Independent Healthcare Org,Community based adult social care services,Langdon Road,"The Hollow, Twerton",Bath,BA2 1ND,Bath and North East Somerset,South West,E38000009,NHS Bath and North East Somerset CCG,NA,NA,Overall,Safe,Good,2018-03-16T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-297421922,1-290660061,Sirona Care & Health C.I.C.,-,-,SIRONA CARE & HEALTH CIC
1-6644090685,BHF Highgate Surgery,N,Primary Medical Services,GP Practices,The Grimethorpe Centre,"Acorn Way, Grimethorpe",Barnsley,S72 7NZ,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,02P,NHS Barnsley CCG,"Families, children and young people",Overall,Good,2019-08-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6644090685,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-6644090521,BHF Lundwood Practice,N,Primary Medical Services,GP Practices,Priory Campus,Pontefract Road,Barnsley,S71 5PN,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,02P,NHS Barnsley CCG,"Families, children and young people",Overall,Good,2019-08-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6644090521,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-6037761180,Beaumont House,N,Independent Healthcare Org,Independent consulting doctors,275 Bancroft Road,NA,London,E1 4DG,Tower Hamlets,London,E38000186,NHS Tower Hamlets CCG,NA,NA,Overall,Safe,Good,2019-04-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6037761180,1-2008331379,Tower Hamlets GP Care Group CIC,-,-,TOWER HAMLETS GP CARE GROUP CIC
1-233070238,Beckenham Beacon,N,Independent Healthcare Org,Community health - NHS & Independent,379 Croydon Road,NA,Beckenham,BR3 3QL,Bromley,London,E38000023,NHS Bromley CCG,NA,NA,Community health services for adults,Safe,Good,2017-07-12T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-233070238,1-216234545,Bromley Healthcare Community Interest Company,-,-,BROMLEY HEALTHCARE CIC
1-514003523,Bentham Road Health Centre,N,Primary Medical Services,GP Practices,"Bentham Road,",NA,Blackburn,BB2 4QD,Blackburn with Darwen,North West,E38000014,NHS Blackburn with Darwen CCG,00Q,NHS Blackburn with Darwen CCG,"Families, children and young people",Overall,Good,2017-07-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-514003523,1-199809610,Cornerstone Healthcare Community Interest Company,-,-,CORNERSTONE HEALTHCARE CIC
1-2062075289,Bevan House,N,Primary Medical Services,GP Practices,14 Piccadilly,NA,Bradford,BD1 3LS,Bradford,Yorkshire and The Humber,E38000018,NHS Bradford City CCG,02W,NHS Bradford City CCG,"Families, children and young people",Overall,Outstanding,2016-03-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2062075289,1-199697065,Bevan Healthcare C.I.C.,-,-,BEVAN HEALTHCARE CIC
1-3297161830,Bexley Health Neighbourhood Care GP Hub (BHNC GP Hub) at Erith and District Hospital,N,Primary Medical Services,GP Practices,Park Crescent,NA,Erith,DA8 3EE,Bexley,London,E38000011,NHS Bexley CCG,NA,NA,Overall,Safe,Requires improvement,2019-07-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3297161830,1-3233364186,Bexley Health Neighbourhood Care C.I.C.,-,-,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC
1-3297161909,"Bexley Health Neighbourhood Care GP Hub (BHNC GP Hub) at Queen Mary's Hospital, Sidcup",N,Primary Medical Services,GP Practices,Frognal Avenue,NA,Sidcup,DA14 6LT,Bexley,London,E38000011,NHS Bexley CCG,NA,NA,Overall,Safe,Requires improvement,2019-07-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3297161909,1-3233364186,Bexley Health Neighbourhood Care C.I.C.,-,-,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC
1-3764334860,Birtle View Medical Practice,N,Primary Medical Services,GP Practices,George Street,NA,Heywood,OL10 4PW,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",01D,"NHS Heywood, Middleton and Rochdale CCG","Families, children and young people",Overall,Good,2018-11-06T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3764334860,1-199810820,Hope Citadel Healthcare Community Interest Company,-,-,HOPE CITADEL HEALTHCARE CIC
1-562020466,Bolton Community Practice CIC,N,Primary Medical Services,GP Practices,Navigation Park,Waters Meeting Road,Bolton,BL1 8TT,Bolton,North West,E38000016,NHS Bolton CCG,00T,NHS Bolton CCG,"Families, children and young people",Overall,Good,2016-12-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-562020466,1-199805187,Bolton Community Practice C.I.C.,-,-,BOLTON COMMUNITY PRACTICE CIC
1-6644090559,Brierley Medical Centre,N,Primary Medical Services,GP Practices,Church Drive,Brierley,Barnsley,S72 9HZ,Barnsley,Yorkshire and The Humber,E38000006,NHS Barnsley CCG,02P,NHS Barnsley CCG,"Families, children and young people",Overall,Good,2019-08-15T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6644090559,1-6082596120,Barnsley Healthcare Federation CIC,-,-,BARNSLEY HEALTHCARE FEDERATION CIC
1-1958383514,Broomfields Sheltered Housing,N,Social Care Org,Community based adult social care services,Broomfields,Bridge Lane,Appleton,WA4 3AT,Warrington,North West,E38000194,NHS Warrington CCG,NA,NA,Overall,Safe,Good,2018-07-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1958383514,1-1839748163,Catalyst Choices Community Interest Company,-,-,CATALYST CHOICES CIC
1-5805871042,Buckden Surgery,N,Independent Healthcare Org,Independent consulting doctors,Mayfield,Buckden,St. Neots,PE19 5SZ,Cambridgeshire,East of England,E38000026,NHS Cambridgeshire and Peterborough CCG,NA,NA,Overall,Safe,Inadequate,2019-09-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5805871042,1-5657665166,West Cambs Federation CIC,-,-,WEST CAMBS FEDERATION CIC
1-1405004765,CTRC CIC,N,Social Care Org,Community based adult social care services,"Network House, 1 Bentinck Court",Bentinck Road,West Drayton,UB7 7RQ,Hillingdon,London,E38000082,NHS Hillingdon CCG,NA,NA,Overall,Safe,Good,2019-04-03T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1405004765,1-331547578,CTRC Community Interest Company,-,-,CTRC CIC
1-3832307401,Caradoc Surgery,N,Primary Medical Services,GP Practices,Caradoc,Station Approach,Frinton On Sea,CO13 9JT,Essex,East of England,E38000117,NHS North East Essex CCG,06T,NHS North East Essex CCG,"Families, children and young people",Overall,Requires improvement,2019-01-10T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3832307401,1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),-,-,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC)
1-777019266,Care Solution Bureau CIC,N,Social Care Org,Community based adult social care services,"Room 7, 1st Floor",22 Market Square,London,E14 6AB,Tower Hamlets,London,E38000186,NHS Tower Hamlets CCG,NA,NA,Overall,Safe,Requires improvement,2018-12-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-777019266,1-101652758,Care Solution Bureau CIC,-,-,CARE SOLUTION BUREAU CIC
1-2033652302,Carers Break Community Interest Company,N,Social Care Org,Community based adult social care services,"Office A105 Advent House, Station Approach","Victoria, Roche",St. Austell,PL26 8LG,Cornwall,South West,E38000089,NHS Kernow CCG,NA,NA,Overall,Safe,Good,2017-10-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2033652302,1-913805502,Carers Break Community Interest Company,-,-,CARERS BREAK CIC
1-3090033271,Carers Forward Head office,N,Social Care Org,Community based adult social care services,22 Highgate Square,Highgate,Birmingham,B12 0DU,Birmingham,West Midlands,E38000220,NHS Birmingham and Solihull CCG,NA,NA,Overall,Safe,Good,2019-03-26T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3090033271,1-2245474707,Carers Forward C.I.C.,-,-,CARERS FORWARD CIC
1-4826229730,Carfax NHS Medical Centre,N,Primary Medical Services,GP Practices,Swindon Health Centre,1 Islington Street,Swindon,SN1 2DQ,Swindon,South West,E38000181,NHS Swindon CCG,12D,NHS Swindon CCG,"Families, children and young people",Overall,Good,2018-11-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4826229730,1-199788641,Carfax Health Enterprise Community Interest Company,-,-,CARFAX HEALTH ENTERPRISE CIC
1-1883763959,Carpenters Practice,N,Primary Medical Services,GP Practices,236-252 High Street,NA,Stratford,E15 2JA,Newham,London,E38000113,NHS Newham CCG,08M,NHS Newham CCG,"Families, children and young people",Overall,Good,2015-11-12T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1883763959,1-199732939,Lantern Health CIC,-,-,LANTERN HEALTH CIC
1-2995343268,Catalyst Choices Shared Lives,N,Social Care Org,Community based adult social care services,14 Arden Close,Gorse Covert,Warrington,WA3 6UP,Warrington,North West,E38000194,NHS Warrington CCG,NA,NA,Overall,Safe,Good,2018-11-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2995343268,1-1839748163,Catalyst Choices Community Interest Company,-,-,CATALYST CHOICES CIC
1-297421505,Charlton House Community Resource Centre,Y,Independent Healthcare Org,Residential social care,"Charlton House, Hawthorns Lane",Keynsham,Bristol,BS31 1BF,Bath and North East Somerset,South West,E38000009,NHS Bath and North East Somerset CCG,NA,NA,Overall,Safe,Requires improvement,2019-04-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-297421505,1-290660061,Sirona Care & Health C.I.C.,-,-,SIRONA CARE & HEALTH CIC
1-1678280100,Cherwell Centre,N,Social Care Org,Community based adult social care services,Cherwell Avenue,Heywood,Rochdale,OL10 4SY,Rochdale,North West,E38000080,"NHS Heywood, Middleton and Rochdale CCG",NA,NA,Overall,Safe,Good,2018-12-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1678280100,1-1387303084,PossAbilities C.I.C,-,-,POSSABILITIES CIC
1-4111936816,"Christmas Maltings, Clements & Keddington Surgery",N,Primary Medical Services,GP Practices,Clements Surgery,Greenfields Way,Haverhill,CB9 8LU,Suffolk,East of England,E38000204,NHS West Suffolk CCG,07K,NHS West Suffolk CCG,"Families, children and young people",Overall,Inadequate,2019-03-19T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4111936816,1-140317426,Suffolk GP Federation C.I.C.,-,-,SUFFOLK GP FEDERATION CIC
1-1047798791,Church Green Lodge,Y,Social Care Org,Residential social care,Aslake Close,NA,Norwich,NR7 8ET,Norfolk,East of England,E38000218,NHS Norwich CCG,NA,NA,Overall,Safe,Good,2018-06-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798791,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-3053878948,Church Lane Surgery,N,Primary Medical Services,GP Practices,Church Lane,NA,New Romney,TN28 8ER,Kent,South East,E38000156,NHS South Kent Coast CCG,10A,NHS South Kent Coast CCG,"Families, children and young people",Overall,Good,2018-05-08T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3053878948,1-1309497424,Invicta Health Community Interest Company,-,-,INVICTA HEALTH CIC
1-564433133,City Health Care Partnership CIC - Kingston Medical Centre,N,Primary Medical Services,GP Practices,151 Beverley Road,NA,Hull,HU3 1TY,"Kingston upon Hull, City of",Yorkshire and The Humber,E38000085,NHS Hull CCG,03F,NHS Hull CCG,"Families, children and young people",Overall,Good,2016-11-08T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-564433133,1-191582971,City Health Care Partnership CIC,BD256,BRAND City Health Care Partnership CIC,CITY HEALTH CARE PARTNERSHIP CIC
1-402571320,City Health Care Partnership CIC - Sunshine House,Y,Social Care Org,Residential social care,Sunshine House,70 Walker Street,Hull,HU3 2HE,"Kingston upon Hull, City of",Yorkshire and The Humber,E38000085,NHS Hull CCG,NA,NA,Overall,Safe,Good,2019-02-05T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-402571320,1-191582971,City Health Care Partnership CIC,BD256,BRAND City Health Care Partnership CIC,CITY HEALTH CARE PARTNERSHIP CIC
1-564420575,City Health Care Partnership CIC - The Wolds Primary Care Practice,N,Primary Medical Services,GP Practices,"Entrance A, Bridlington Hospital",Bessingby Road,Bridlington,YO16 4QP,East Riding of Yorkshire,Yorkshire and The Humber,E38000052,NHS East Riding of Yorkshire CCG,02Y,NHS East Riding of Yorkshire CCG,"Families, children and young people",Overall,Good,2016-11-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-564420575,1-191582971,City Health Care Partnership CIC,BD256,BRAND City Health Care Partnership CIC,CITY HEALTH CARE PARTNERSHIP CIC
1-3882088385,Clarity House,N,Independent Healthcare Org,Residential substance misuse,15 Larch Croft,NA,Birmingham,B37 7UR,Solihull,West Midlands,E38000220,NHS Birmingham and Solihull CCG,NA,NA,Overall,Safe,Inadequate,2019-09-23T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3882088385,1-3617348775,Changes UK Community Interest Company,-,-,CHANGES UK CIC
1-297412481,Cleeve Court Community Resource Centre,Y,Social Care Org,Residential social care,Cleeve Court,"Cleeve Green, Twerton",Bath,BA2 1RS,Bath and North East Somerset,South West,E38000009,NHS Bath and North East Somerset CCG,NA,NA,Overall,Safe,Good,2019-08-28T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-297412481,1-290660061,Sirona Care & Health C.I.C.,-,-,SIRONA CARE & HEALTH CIC
1-297421598,Combe Lea Community Resource Centre,Y,Independent Healthcare Org,Residential social care,Combe Lea Residential Care Home,"Greenacres, Midsomer Norton",Radstock,BA3 2RD,Bath and North East Somerset,South West,E38000009,NHS Bath and North East Somerset CCG,NA,NA,Overall,Safe,Requires improvement,2018-05-03T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-297421598,1-290660061,Sirona Care & Health C.I.C.,-,-,SIRONA CARE & HEALTH CIC
1-5805871286,Cornerstone Surgery,N,Independent Healthcare Org,Independent consulting doctors,Elwyn Road,NA,March,PE15 9BF,Cambridgeshire,East of England,E38000026,NHS Cambridgeshire and Peterborough CCG,NA,NA,Overall,Safe,Inadequate,2019-09-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5805871286,1-5657665166,West Cambs Federation CIC,-,-,WEST CAMBS FEDERATION CIC
1-5805871438,Cromwell Place Surgery,N,Independent Healthcare Org,Independent consulting doctors,Cromwell Place,NA,St. Ives,PE27 5JD,Cambridgeshire,East of England,E38000026,NHS Cambridgeshire and Peterborough CCG,NA,NA,Overall,Safe,Inadequate,2019-09-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5805871438,1-5657665166,West Cambs Federation CIC,-,-,WEST CAMBS FEDERATION CIC
1-221575483,Darland House,Y,Independent Healthcare Org,Residential social care,29 Darland Avenue,NA,Gillingham,ME7 3AL,Medway,South East,E38000104,NHS Medway CCG,NA,NA,Overall,Safe,Good,2018-06-20T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-221575483,1-184500761,Medway Community Healthcare C.I.C,-,-,MEDWAY COMMUNITY HEALTHCARE CIC
1-1968203941,Dunston Community Centre,N,Social Care Org,Community based adult social care services,Railway Street,NA,Gateshead,NE11 9EB,Gateshead,North East,E38000212,NHS Newcastle Gateshead CCG,NA,NA,Overall,Safe,Good,2018-09-01T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1968203941,1-376566474,Homecare North East CIC,-,-,HOMECARE NORTH EAST CIC
1-2875180717,EAM Lodge (Trafford),Y,Social Care Org,Residential social care,46 Manchester Road,Partington,Manchester,M31 4DJ,Trafford,North West,E38000187,NHS Trafford CCG,NA,NA,Overall,Safe,Good,2019-03-09T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2875180717,1-131464622,EAM Lodge Community Interest Company,-,-,EAM LODGE CIC
1-159629003,EAM Lodge CIC,Y,Social Care Org,Residential social care,21 Fouracres Road,NA,Manchester,M23 1FG,Manchester,North West,E38000217,NHS Manchester CCG,NA,NA,Overall,Safe,Good,2019-07-30T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-159629003,1-131464622,EAM Lodge Community Interest Company,-,-,EAM LODGE CIC
1-1774755686,East of England Homecare CIC,N,Social Care Org,Community based adult social care services,Saracens House,25 St Margarets Green,Ipswich,IP4 2BN,Suffolk,East of England,E38000086,NHS Ipswich and East Suffolk CCG,NA,NA,Overall,Safe,Good,2018-11-09T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1774755686,1-1627053721,East Of England Homecare C.I.C,-,-,EAST OF ENGLAND HOMECARE CIC
1-3832370708,Epping Close Surgery,N,Primary Medical Services,GP Practices,The Old Renal Unit,Kennedy Way,Clacton On Sea,CO15 4AB,Essex,East of England,E38000117,NHS North East Essex CCG,06T,NHS North East Essex CCG,"Families, children and young people",Overall,Good,2017-09-27T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3832370708,1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),-,-,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC)
1-2215670492,Esteem Homecare Services,N,Social Care Org,Community based adult social care services,"Room 1a, Multi Media Exchange",72-80 Corporation Road,Middlesbrough,TS1 2RF,Middlesbrough,North East,E38000162,NHS South Tees CCG,NA,NA,Overall,Safe,Requires improvement,2019-09-12T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2215670492,1-2180895703,Esteem Homecare Services CIC,-,-,ESTEEM HOMECARE SERVICES CIC
1-1953835999,Extended Access Clinic : Bermondsey Spa Medical Centre,N,Independent Healthcare Org,Independent consulting doctors,50 Old Jamaica Road,Bermondsey,London,SE16 4BN,Southwark,London,E38000171,NHS Southwark CCG,NA,NA,Overall,Safe,Good,2019-05-16T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1953835999,1-1351397247,Quay Health Solutions CIC,-,-,QUAY HEALTH SOLUTIONS CIC
1-157759839,Falcare,N,Social Care Org,Community based adult social care services,Trelowenak,37 Kimberley Park Road,Falmouth,TR11 2DA,Cornwall,South West,E38000089,NHS Kernow CCG,NA,NA,Overall,Safe,Good,2017-12-13T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-157759839,1-131464444,Falcare Community Interest Company,-,-,FALCARE CIC
1-1047798809,Faro Lodge,Y,Social Care Org,Residential social care,Galyon Road,NA,Kings Lynn,PE30 3YE,Norfolk,East of England,E38000203,NHS West Norfolk CCG,NA,NA,Overall,Safe,Good,2017-04-27T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1047798809,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-2063744860,Favoured Health Care CIC,N,Social Care Org,Community based adult social care services,"Unit 101E, Peel House",32-34 London Road,Morden,SM4 5BT,Merton,London,E38000105,NHS Merton CCG,NA,NA,Overall,Safe,Good,2019-06-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2063744860,1-323827200,Favoured Health Care CIC,-,-,FAVOURED HEALTH CARE CIC
1-4997224679,Flexible Community Care - Haringey,N,Social Care Org,Community based adult social care services,Tudor Leaf Business Centre,"UNIT 220, 2-8, Fountayne Road",London,N15 4QL,Haringey,London,E38000072,NHS Haringey CCG,NA,NA,Overall,Safe,Good,2019-02-13T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-4997224679,1-4449566915,Flexible Community Care CIC,-,-,FLEXIBLE COMMUNITY CARE CIC
1-1207619156,Floating Support City,N,Social Care Org,Community based adult social care services,Vauxhall Community Hub,Johnson Place,Norwich,NR2 2SA,Norfolk,East of England,E38000218,NHS Norwich CCG,NA,NA,Overall,Safe,Good,2017-01-12T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1207619156,1-893740307,Independence Matters C.I.C.,-,-,INDEPENDENCE MATTERS CIC
1-3832396389,Frinton Road Surgery,N,Primary Medical Services,GP Practices,68 Frinton Road,Holland On Sea,Clacton On Sea,CO15 5UW,Essex,East of England,E38000117,NHS North East Essex CCG,06T,NHS North East Essex CCG,"Families, children and young people",Overall,Requires improvement,2018-12-24T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-3832396389,1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),-,-,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC)
1-120625798,Future Care & Support Service,N,Social Care Org,Community based adult social care services,Cobalt Square 13th Floor,83 Hagley Road,Birmingham,B16 8QG,Birmingham,West Midlands,E38000220,NHS Birmingham and Solihull CCG,NA,NA,Overall,Safe,Requires improvement,2019-05-08T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-120625798,1-101691942,Future Health And Social Care Association C.I.C.,-,-,FUTURE HEALTH AND SOCIAL CARE ASSOCIATION CIC
1-443780345,Future Directions CIC,N,Social Care Org,Community based adult social care services,Marle House,Oldham Broadway Business Park,Oldham,OL9 9XA,Oldham,North West,E38000135,NHS Oldham CCG,NA,NA,Overall,Safe,Good,2017-03-16T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-443780345,1-438920790,Future Directions CIC,-,-,FUTURE DIRECTIONS CIC
1-1795793231,Gannicox CIC Domiciliary Care Agency,N,Social Care Org,Community based adult social care services,"Flat 8, Whittington House",59 Cainscross Road,Stroud,GL5 4EX,Gloucestershire,South West,E38000062,NHS Gloucestershire CCG,NA,NA,Overall,Safe,Good,2019-09-10T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1795793231,1-1693117119,Gannicox CIC,-,-,GANNICOX CIC
