project_id,std_name,founded,SIC,SIC2,CLS,health_social,healthcare,smallcompanies,group,allocatedshares,aggregatevalue,shareholder,shareholder2,totalissueshares,mutuals,currentasset,currentliabilities,calledupshare,totalequity,employee-owned,spinout,dissolved,reported
location1208,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location1209,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location1210,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location1211,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location1212,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location1213,ALL SEASONS COMMUNITY SUPPORT CIC,NA,NA,NA,999,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019
location684,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location685,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location686,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location687,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location688,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location689,ANGELS COMMUNITY ENTERPRISES CIC,2005,81299 - Other cleaning services,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,7990,2023,NA,6441,0,0,NA,2019
location815,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location816,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location817,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location818,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location819,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location820,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location821,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location822,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location823,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location824,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location825,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location826,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location827,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location828,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location829,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location830,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location831,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location832,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location833,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location834,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location835,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location836,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location837,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location838,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location839,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location840,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location841,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location842,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location843,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location844,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location845,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location846,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location847,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location848,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location849,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location850,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location851,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location852,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location853,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location854,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location855,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location856,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location857,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location858,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location859,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location860,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location861,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location862,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider1,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider2,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider3,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider4,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider5,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider6,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider7,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider8,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider9,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider10,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider11,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider12,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider13,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider14,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider15,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider16,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider17,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider18,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider19,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider20,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider21,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider22,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider23,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider24,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider25,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider26,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider27,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider28,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider29,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
provider30,ANGLIAN COMMUNITY ENTERPRISE CIC (ACE CIC),2010,86101 - Hospital activities,"86210 - General medical practice activities
86230 - Dental practice activities
86900 - Other human health activities",1,healthcare,1,0,0,620,620,1,individuals,620,0,12993734,10125341,610,3613364,0,1,0,2019
location193,ANNIE'S HEALTHCARE SERVICES CIC,2005,88100 - Social work activities without accommodation for the elderly and disabled,NA,1,socialcare,0,1,0,1,1,1,individual,1,0,42527,33971,1,8556,0,0,0,2019
location194,ANNIE'S HEALTHCARE SERVICES CIC,2005,88100 - Social work activities without accommodation for the elderly and disabled,NA,1,socialcare,0,1,0,1,1,1,individual,1,0,42527,33971,1,8556,0,0,0,2019
location195,ANNIE'S HEALTHCARE SERVICES CIC,2005,88100 - Social work activities without accommodation for the elderly and disabled,NA,1,socialcare,0,1,0,1,1,1,individual,1,0,42527,33971,1,8556,0,0,0,2019
location196,ANNIE'S HEALTHCARE SERVICES CIC,2005,88100 - Social work activities without accommodation for the elderly and disabled,NA,1,socialcare,0,1,0,1,1,1,individual,1,0,42527,33971,1,8556,0,0,0,2019
location197,ANNIE'S HEALTHCARE SERVICES CIC,2005,88100 - Social work activities without accommodation for the elderly and disabled,NA,1,socialcare,0,1,0,1,1,1,individual,1,0,42527,33971,1,8556,0,0,0,2019
